junction_id,sumo_id,icid,dist,name
3208478121,3208478121,,0.0,
619136999,619136999,,0.0,
655375241,655375241,IJTJ8,0.0,忠孝東二段--八德路一段
cluster_9383263990_9383263991_9383263992_9383263993,GS_cluster_9383263990_9383263991_9383263992_9383263993,IJSJD,0.0,忠孝東二段-金山南一段
cluster619136880_619136881_cluster_4510442270_5296993511_5296993513_619136931_#1more,J0,IJHKR,0.0,忠孝東三段-建國南一段
cluster655375228_655375240,NO_TLS,,0.0,
cluster3086736522_655375108_655375247_655375401_#1more,cluster3086736522_655375108_655375247_655375401_#1more,IKGJI,0.0,市民二段-金山北路
cluster619136899_619136900_cluster_619136929_619136942,cluster619136899_619136900_cluster_619136929_619136942,IJHKR,0.0,忠孝東三段-建國南一段
cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,IKJJP,0.0,市民三段-松江路
cluster_2038168688_655375573,cluster_2038168688_655375573,IJQJI,0.0,忠孝東二段-臨沂街
cluster_2528018119_655375236,cluster_2528018119_655375236,IK5JW,0.0,八德路一段-新生南一段
cluster_3431431575_4777363357_655375231_6982059025,cluster_3431431575_4777363357_655375231_6982059025,IKEKH,0.0,八德路二段-渭水路
cluster_4374470814_4374470816_656132411_656132475,cluster_4374470814_4374470816_656132411_656132475,IKXJW,0.0,長安東二段-松江路
cluster_5372642442_631668976_631668981_631669076,cluster_5372642442_631668976_631668981_631669076,IJLJW,0.0,忠孝東二段-新生南一段
cluster_623980090_623980094,cluster_623980090_623980094,IKGKP,0.0,八德路二段-建國北一段
cluster_623980147_623980152,cluster_623980147_623980152,IKGKP,0.0,八德路二段-建國北一段
3086736518;655375232;655375233,joinedS_3086736518_655375232_655375233,IK9KC,0.0,八德路二段-市民三段
cluster_3208478133_655375293_655375296_9631728504_#1more,joinedS_3086736519_3086736520_631668954_631668971_#3more,IKEJW,0.0,渭水街-松江路
622618015;622618108;622618112;622618144;622618197;622618230,joinedS_622618015_622618108_622618112_622618144_622618197_622618230,IK7KP,0.0,建國南一段-市民三段
655375239,joinedS_655375228_655375239_655375240,IJTJ9,0.0,八德路一段-金山北路
cluster_2664674491_655375287_655375288,joinedS_655375286_cluster_2664674491_655375287_655375288,IKEJW,0.0,渭水街-松江路
cluster655375228_655375240,cluster655375228_655375240,IJTJ9,0.0,八德路一段-金山北路
,joinedS_3086736522_655375108_655375247_655375401_#1more,IKGJI,0.0,市民二段-金山北路
cluster619136880_619136881_cluster_4510442270_5296993511_5296993513_619136931_#1more,cluster619136880_619136881_cluster_4510442270_5296993511_5296993513_619136931_#1more,IJHKR,0.0,忠孝東三段-建國南一段
cluster_2664674491_655375287_655375288,cluster_2664674491_655375287_655375288,IKEJW,0.0,渭水街-松江路
